pair,entry_z,exit_z,lookback,sl_mult,cal_expR,cal_pctMR,val_expR,val_pctMR,val_n,fwd_expR,fwd_pctMR
XRP/ADA,1.5,0.5,30,2.0,0.2943,48.8,-0.0187,47.8,88,0.8262,49.6
XRP/ADA,1.5,0.5,40,1.0,1.6605,50.6,1.0588,48.9,74,1.9659,47.5
XRP/ADA,1.5,0.5,40,1.5,1.1069,50.6,0.7058,48.9,74,1.3106,47.5
XRP/ADA,1.5,0.5,40,2.0,0.8301,50.6,0.5293,48.9,74,0.9829,47.5
XRP/ADA,1.5,0.5,60,1.0,-0.4002,47.3,1.9196,47.8,51,-0.0417,45.2
XRP/ADA,1.5,0.5,60,1.5,-0.2669,47.3,1.2796,47.8,51,-0.0278,45.2
XRP/ADA,1.5,0.5,60,2.0,-0.2002,47.3,0.9597,47.8,51,-0.0209,45.2
XRP/ADA,1.5,0.8,20,1.0,2.4566,50.0,0.5015,49.2,131,2.1293,48.5
XRP/ADA,1.5,0.8,20,1.5,1.6377,50.0,0.3343,49.2,131,1.4195,48.5
XRP/ADA,1.5,0.8,20,2.0,1.2282,50.0,0.2507,49.2,131,1.0646,48.5
XRP/ADA,1.5,0.8,30,1.0,0.5825,46.5,-0.6636,50.0,97,1.6114,49.5
XRP/ADA,1.5,0.8,30,1.5,0.3883,46.5,-0.4424,50.0,97,1.0742,49.5
XRP/ADA,1.5,0.8,30,2.0,0.2912,46.5,-0.3319,50.0,97,0.8056,49.5
XRP/ADA,1.5,0.8,40,1.0,1.6568,48.2,0.4527,47.3,81,1.2418,47.9
XRP/ADA,1.5,0.8,40,1.5,1.1045,48.2,0.3017,47.3,81,0.8278,47.9
XRP/ADA,1.5,0.8,40,2.0,0.8283,48.2,0.2262,47.3,81,0.6208,47.9
XRP/ADA,1.5,0.8,60,1.0,-0.8492,49.0,0.7642,49.0,61,1.5962,46.6
XRP/ADA,1.5,0.8,60,1.5,-0.5662,49.0,0.5094,49.0,61,1.0641,46.6
XRP/ADA,1.5,0.8,60,2.0,-0.4247,49.0,0.382,49.0,61,0.798,46.6
XRP/ADA,2.0,0.3,20,1.0,1.9248,46.9,-0.3966,48.7,78,1.4732,48.4
XRP/ADA,2.0,0.3,20,1.5,1.2831,46.9,-0.2645,48.7,78,0.9821,48.4
XRP/ADA,2.0,0.3,20,2.0,0.9623,46.9,-0.1984,48.7,78,0.7365,48.4
XRP/ADA,2.0,0.3,30,1.0,2.4,49.6,1.2432,46.5,61,2.1948,45.8
